year;lyrics
2002;Smokey Black Nights Lyrics  Lets watch the tide chase the waves onto the sand I wonder if a broken heart can feel the warmth of my hand And I wonder what a piece of driftwood has seen all through his lifetime Lets walk away the past through the smokey black nights  Ive seen a million things Spoke a million words Now I only want to speak to you Waiting for the words Counting every bird Theres nothing Id rather do On the smokey black nights  Still through the haze I can make out constellations Ill make one of you and me as we sit in the sand And I saw that sunset gleaming as my eyes went wild Lets walk away the past through the smokey black nights  Ive played a thousand songs Sang a thousand words Now I only want to sing to you Waited on a wire Staring at the fire Theres nothing Id rather do On the smokey black nights  Ive walked a thousand miles Smiled a thousand smiles Now I only smile when Im with you Waiting for the words Counting every bird Theres nothing Id rather do On the smokey black nights  So walk with me as the sweet wind dances Ill write a song for you and me on the smokey black nights 1 Embed', 'Lucky You Lyrics  Theres a little girl in this little town With a little too much heart to go around Live forever, never say never You could do better, thats what she says  Mama named her Lucky on a starlit night A rabbit foot in her pocket, she dances in spite Of the fact that shes different And yet shes the same And she says, do-do-do-do-do-do-do-do Do-do-do-do-do-do-do, do-do-do-do Do-do-do, do-do-do, do-do-do-do Lucky you, lucky you  She sings her little song, she walks along A little pathway headed for the skies Left to travels, lives they unravel Mind over matter, thats what she says  Mama named her Lucky on a starlit night A rabbit foot in her pocket, she dances in spite Of the fact that shes different And yet shes the same And she says, do-do-do-do-do-do-do-do Do-do-do-do-do-do-do, do-do-do-do Do-do-do, do-do-do, do-do-do-do Lucky you, lucky you  Maybe shell sing you do-do-do-do Maybe shell bring you into the skies Honey shell love you, funny how some view Angels above you arent so far away  Mama named her Lucky on a starlit night A rabbit foot in her pocket, she dances in spite Of the fact that shes different And yet shes the same And she says, lucky you, lucky you Embed', 'American Boy Lyrics  American boy, living life as it goes Sitting on the fence posts Living in the lie American boy, living in the real world Trying just to get the girl Trying to survive  The simple things in life are always new Growing up on Sam Hill avenue Mama makes her cookies and daddys just The greatest living hero that ever was Nothing in the world can ever once destroy The hope of an American boy  Living off of bar tips, trying for relationships Looking for the love Suddenly rise, an American beauty Suddenly he cheats, sent from above  The simple things in life are always new Growing up on Sam Hill avenue Mama makes her cookies and daddys just The greatest living hero that ever was Nothing in the world can ever once destroy The hope of an American boy  American boy, raising little babies Hearing daddy maybe, Ill be like you Suddenly life, seems just like a new dawn Thats grown up, American boy  The simple things in life are always new Growing up on Grandview avenue Mama makes her cookies and daddys just The greatest living hero that ever was Nothing in the world will ever once destroy No, nothing in the world will ever once destroy The hope of an American boy 1 Embed
2003;American Boy Lyrics  American boy, living life as it goes Sitting on the fence posts Living in the lie American boy, living in the real world Trying just to get the girl Trying to survive  The simple things in life are always new Growing up on Sam Hill avenue Mama makes her cookies and daddys just The greatest living hero that ever was Nothing in the world can ever once destroy The hope of an American boy  Living off of bar tips, trying for relationships Looking for the love Suddenly rise, an American beauty Suddenly he cheats, sent from above  The simple things in life are always new Growing up on Sam Hill avenue Mama makes her cookies and daddys just The greatest living hero that ever was Nothing in the world can ever once destroy The hope of an American boy  American boy, raising little babies Hearing daddy maybe, Ill be like you Suddenly life, seems just like a new dawn Thats grown up, American boy  The simple things in life are always new Growing up on Grandview avenue Mama makes her cookies and daddys just The greatest living hero that ever was Nothing in the world will ever once destroy No, nothing in the world will ever once destroy The hope of an American boy 1 Embed', 'Point of View Lyrics Time is passing slowly for the eight year old next door But mamas watch is ticking off the wall Jillian and Bobby think that theyre a perfect pair But girls could say hes just a bit too tall You dont have to do to win big You just have to think it Some folks say the glass is half full Others choose to drink it Some say the grass could be greener And the other side aint far away But I say the old could be newer And love still counts when it doesnt stay Some say I love you Some say love needs proof Its all in your point of view He hated pink so she threw out her favorite clothes His NFL was turned to TLC Babys got an attitude and thinks they just dont know But they all do and wish that she could see You dont have to do to win big You just have to think it Some folks say the glass is half full Others choose to drink it Some say the grass could be greener And the other side aint far away But I say the old could be newer And love still counts when it doesnt stay Some say I love you Some say love needs proof Its all in your point of view In the least or masterpiece Depends on ones opinion Worst of all they never call But dont think that they werent wishing Some say the grass could be greener And the other side aint far away But I say the old could be newer And love still counts when it doesnt stay Some say I love you Some say love needs proof Its all in your point of view Its all in your point of view Point of view Its all in your point of view Embed', 'Kid in the Crowd Lyrics I remember the eyes Of the kid in the crowd Who cut me down to size Realizing is crying out loud For every kid on stage Theres a kid in the crowd Embed', 'Brand New World Lyrics  Watch me go into the world today Watch me try to blow the past away Watch me laugh and watch me cry Watch me fall and watch me fly Cause Im living in a brand new world And you think Im just another girl But Im living just a day at a time And keeping it mine Someday Im gonna fly  Watch me catch a star and pin it down Watch me live another time around Watch me doubt the things I love Watch me find what Im proud of Cause Im living in a brand new world And you think Im just another girl But Im living just a day at a time And keeping it mine Someday Im gonna fly  And I may break my wings And fall flat on my shattered heart And I may hit the ground But I will never fall apart Cause Im living in a brand new world And you think Im just another girl But Im living just a day at a time And keeping it mine Im living in a brand new world And you think Im just another girl But Im living just a day at a time And keeping it mine Someday Im gonna fly 1 Embed', 'I Used to Fly Lyrics  ... I used to fly Didnt matter where Id been Cause Id seen the sky I wanna tell you why But somehow I know I Would break down and cry  I know you cant see me here But I am not alone Im lying here in invisible arms And I wont be alone tonight  You... you know I would die Before I let them see me See me cry Please dont leave tonight Oh let me down slowly Show me a light  I know you cant see me here But I am not alone Im lying here in invisible arms And I wont be alone tonight  Oh let me think Im strong Please dont bring me down I need you tonight  I know you cant see me here But I am not alone Im lying here in invisible arms And I wont be alone tonight  I... I used to fly Didnt matter where Id been Cause Id seen the sky Embed', 'Sugar Lyrics  What a thing to see What a thing to be What a perfect love, what a perfect home Cause every time she walks And every time she talks Is every time he knows what a perfect world hes living on  But whenever hes gone and when shes all alone His heart goes out to her on the telephone  And he says, Sugar, how I love you How I think about you all the time He calls her Sugar cause shes the sweetest thing Oh, shes the best thing hell ever find  With her midnight hair And with his favorite stare Shes a southern belle, hes a rockout king When she looks around Oh, she knows shes found Such a perfect life, such a perfect thing  And whenever hes gone and when shes all alone His heart goes out to her on the telephone  And he says, Sugar, how I love you How I think about you all the time He calls her Sugar cause shes the sweetest thing Oh, shes the best thing hell ever find  Oh, theres a reason for every season Theres a change within the range of every heart But the reason and the season Seem to be right so far  And he says, Sugar, how I love you How I think about you all the time He calls her Sugar cause shes the sweetest thing Oh, shes the best thing hell ever find He calls her Sugar 1 Embed', 'Tennessee Lyrics  Standing on a street somewhere I dont wanna be In a town thats made of stone Some bad directions must have me here by mistake Cause this sure aint what I call home  Let me close my eyes for a second See if I can get out of here, and  Let my hair hang down, and I can feel the golden sun And watch a pickup truck drive by And I wanna tell the world how good it is to be right here But I dont, I just sit under this tree And Im in Tennessee  Standing on a road leading to a barn With a cat named Eloise Later on, well all go fishing in the pond But all well catch is just a summer breeze  Let me close my eyes for a second See if I can stay right here, and  Let my hair hang down, and I can feel the golden sun And watch a pickup truck drive by And I wanna tell the world how good it is to be right here But I dont, I just sit under this tree And Im in Tennessee  When the pond is gone and Eloise floats away I find myself staring at the same old day I need to go back, back to where I feel so free Well, it looks like Im going back to Tennessee  I let my hair hang down, and I can feel the golden sun And watch a pickup truck drive by And I wanna tell the world how good it is to be right here But I dont, I just sit under this tree Just me and Eloise And Im in Tennessee Embed', 'In the Pouring Rain Lyrics I loved you for a little, a little while I think you know that! It would have worked for a little Except for that day you... Its not like you to be here When you said you wont! But in the pouring rain You changed everything You changed the tune! In the middle of the game You changed everything You changed the rules! Its not like we could forget something quickly Except in the pouring rain It kills me to say this It really does, it kills my heart! But I might still love you Reason were just fallen apart But its not like me to answer Gonna change my mind! But in the pouring rain, You changed everything You changed the tune! In the middle of the game You changed everything You changed the rules! And its not like we could forget something quickly Except in the pouring rain Oh, am I... All I torn myself I would be losing! But in the pouring rain, can you feel my pain? My tears are falling down from the sky! In the pouring rain, I can feel... I wonder who you love tonight Oh, in the pouring rain In the pouring rain Oh, in the pouring rain! In the pouring rain You changed everything You changed my mind Embed', 'Never Fade Lyrics  I think you fell off of your cloud today You didnt see it coming or did you You tried to please everybody But the sweet breeze swept you away  The sun goes down on a good day Tomorrow is still an unknown You think youre all alone in this place I think youre crazy cause I still love you baby  Oh dont fade away baby Blowing in the wind is getting harder to do Dont count the days as they leave you Count them as you find a day new Dont fade away Never fade  Hard to breathe, nobody knows its you Somebody blows your candle out You wore a mask, now thats broken too Everybody else was everything to you  The sun goes down on a good day Tomorrow is still an unknown You think everybody wants a fight I think youre crazy cause I still love you baby  Oh dont fade away baby Blowing in the wind is getting harder to do Dont count the days as they leave you Count them as you find a day new Dont fade away Never fade  I think you fell out of the sky today I think you know its true Youve seen the world, now all you see is me Tell me now baby what are you gonna do  Oh dont fade away baby Blowing in the wind is getting harder to do Dont count the days as they leave you Count them as you find a day new Dont fade away Dont fade away Dont fade away Never fade 1 Embed', 'Lucky You Lyrics  Theres a little girl in this little town With a little too much heart to go around Live forever, never say never You could do better, thats what she says  Mama named her Lucky on a starlit night A rabbit foot in her pocket, she dances in spite Of the fact that shes different And yet shes the same And she says, do-do-do-do-do-do-do-do Do-do-do-do-do-do-do, do-do-do-do Do-do-do, do-do-do, do-do-do-do Lucky you, lucky you  She sings her little song, she walks along A little pathway headed for the skies Left to travels, lives they unravel Mind over matter, thats what she says  Mama named her Lucky on a starlit night A rabbit foot in her pocket, she dances in spite Of the fact that shes different And yet shes the same And she says, do-do-do-do-do-do-do-do Do-do-do-do-do-do-do, do-do-do-do Do-do-do, do-do-do, do-do-do-do Lucky you, lucky you  Maybe shell sing you do-do-do-do Maybe shell bring you into the skies Honey shell love you, funny how some view Angels above you arent so far away  Mama named her Lucky on a starlit night A rabbit foot in her pocket, she dances in spite Of the fact that shes different And yet shes the same And she says, lucky you, lucky you Embed', 'Same Girl Lyrics Im still wearing my blue jeans No I dont know what you mean Im still the same girl Picking daisies in the field I believe in what I feel Ive always been the same girl Some moments change your life This could be one of them Im just living life and thinking Hey this could be fun Ive always been the same girl Living in the same world Singing little songs at the break of dawn girl Sitting on the front porch Do do do do do Watching what you say girl Never blow away girl Living in the crazy world Ive always been the same girl I still live in one small town But always love to move around Ive always been the same girl Still keep diaries that say Where I was and did that day Ive always been the same girl Some moments change your life This could be one of them Im just living life and thinking Hey this could be fun Ive always been the same girl Living in the same world Singing little songs at the break of dawn girl Sitting on the front porch Do do do do do Watching what you say girl Never blow away girl Living in the crazy world Ive always been the same girl Some days will change your life Yeah this could be one of them Im just living life and thinking... Ive always been the same girl Living in the same world Singing little songs at the break of dawn girl Sitting on the front porch Do do do do do Watching what you say girl Never blow away girl Living in the crazy world Ive always been the same girl Living in the crazy world Ive always been the same girl Embed', 'This Here Guitar Lyrics  Walking downtown shuffling my feet I try to dream my dreams above the concrete Store windows, traveled for miles But something I passed really caught my eye It was cracked down the middle, permanent scars But I fell in love with this here guitar  Nice to meet you, can I teach you All I know, can you show me what you do Where have you been What have you seen Who were you before you even knew me Have you been played for endless hours Or were you left in the corner Or were you someones best friend This here guitar  It was my baby, anyone could see I love the cracks, the curves, the hidden beauty But I cant help wondering why It came to me and where well say goodbye The cracks down the middle Cant see where they are Since I fell in love with this here guitar  Nice to meet you, can I teach you All I know, can you show me what you do Where have you been What have you seen Who were you before you even knew me Have you been played for endless hours Or were you left in the corner Or were you someones best friend This here guitar  Were you a present from a father to a son? Did he forget you Or just play you til you came undone? Hey, did some primadonna love you Til she got her fame and fortune? I wont do that to you  Nice to meet you, can I teach you All I know, can you show me what you do Where have you been? What have you seen? Who were you before you even knew me? Have you been played for endless hours Or were you left in the corner Or were you someones best friend? This here guitar Youre my guitar This here guitar 1 Embed', 'Mandolin Lyrics  Hes got a nice little life Hes gonna live it, but on Friday nights he plays that mandolin Painted red, and he said Its not the best I know But its mine, Im gonna make it mine People there cant help but care About the friendly music of a guy Whos getting by from their applause Hes got a song that moves along Hes got his local crowd tonight At Angelinas family bar and grill  Hes got his heart on his sleeve The songs he plays just living free But who knows what goes through his mind When he plays a song it brings along Everybody saying Whos that guy who plays the mandolin... mandolin Oh yeah, mandolin  Got a car, got a scar Like everyone hes got a few but Everybody loves that mandolin Got his problems, bills to pay Somehow that boy finds a way Through paychecks in tip jars, yeah  Hes got his heart on his sleeve The songs he plays just living free But who knows what goes through his mind When he plays a song it brings along Everybody saying Whos that guy who plays the mandolin... mandolin Oh yeah, mandolin  Oh hes the kind of guy Who never really wanted fame His feet are planted firmly on the ground He never wanted people to remember his name He never wanted word to get around That he found heaven on earth  Hes got his heart on his sleeve The songs he plays just living free But who knows what goes through his mind When he plays a song it brings along Everybody saying Whos that guy who plays the mandolin Oh, Im the guy who plays the mandolin Mandolin Oh, mandolin Embed', 'For You (4 U) Lyrics  It wouldve been nice to see you coming But that wouldve ruined the surprise It wouldve been nice to have a picture perfect world But then the truth would hurt my eyes It wouldve been good for you to be there And every time you always would Everything seems to have a picture perfect time And nothing seems to be a blur  Its hard to see a picture drop before it hits the ground Its nice to know youre here and youre helping me down But you were always there when I needed You would always see me clearly And you were never looking for a thank you Im saying one for you  Wouldve been cool to never fall down But then I never wouldve seen The power isnt with the picture perfect person You told me better things to come from in between  Its hard to see a picture drop before it hits the ground Its nice to know youre here and youre helping me down But you were always there when I needed You would always see me clearly And you were never looking for a thank you Im saying one, saying one, saying one for you  It wouldve been nice to see you coming But that wouldve ruined the surprise It wouldve been nice to have a picture perfect world But then the truth would hurt my eyes  But you were always there when I needed You would always see me clearly And you were never looking for a thank you Im saying one for you Embed', 'My Turn to Be Me Lyrics  Something about me didnt fit into your perfect world I bet the bluegrass stained your smile You should use a darker color when you write on the wall I havent read it a thousand times  Maybe if you saw me for a second you would realize Honey I was trying so hard  To talk, walk, think, stop Anytime you want me to Bend all my rules I used to let you choose Who you wanted me to be This time Im flying free Its my turn to be me  You liked the face but you had to replace me Inside I saw the walls of me go down You can take the girl away from Cowboy hats and steel guitars Shell still sing the same old songs  Maybe if you saw me for a second you would realize Honey I was trying so hard  To talk, walk, think, stop Anytime you want me to Bend all my rules I used to let you choose Who you wanted me to be This time Im flying free Its my turn to be me  Turned on that radio Hey thats when I realized It wasnt our song, it was yours And in conversation baby I was decoration Now I deserve a little bit more than  To talk, walk, think, stop Anytime you want me to Bend all my rules I used to let you choose Who you wanted me to be This time Im flying free Its my turn to be me Embed', 'Spinning Around Lyrics  Days go by, I wonder if you hear me Cant you read between the lines? Now Im standing still, I am disappearing Take this chance, Ill make you mine  Dont you wonder why You change in time Makes you feel so empty inside  But loves got me cornered in the back of the room Im spinning around, Im spinning around And all I see is someone I dont know Loves got me tangled, tired me too No sign of a wall, sign of wall Spinning me around And baby all I see is you  He tells lies, are you really thinking That you deserve another try When you see these eyes You see another planet Dont ask how, but fate decides  Dont you wonder why You change in time Makes you feel so empty inside  But loves got me cornered in the back of the room Im spinning around, Im spinning around And all I see is someone I dont know Loves got me tangled, tired me too No sign of a wall, sign of wall Spinning me around And baby all I see is you  Spinning and turning And living and learning I should be able to handle this Make it or break it Move it or shake it Do it or fake it Girl youve got to make it  But loves got me cornered in the back of the room Im spinning around, Im spinning around And all I see is someone I dont know Loves got me tangled, tired me too No sign of a wall, sign of wall Spinning me around And baby all I see is you  Spinning me around And baby all I see is you Spinning me around And all I see is you 2 Embed', 'Live for the Little Things Lyrics  One daybreak, one heartache Every once-upon-a-time That black dress, happiness Bubble baths and quarter lines  They mean so much to everyone But you count them up one by one  Clear midnights and this spotlight Once thinking that your dad was ten feet tall A blue bonnet, a braid on it Quiet winters and leaves that always fall Your black boots, my red flower ring Live for the little things  Oil paintings and making Every detail turn out bad One last stands, new romance Living for that love and person  They mean so much to everyone But you count them up one by one  Clear midnights and this spotlight Once thinking that your dad was ten feet tall A blue bonnet, a braid on it Quiet winters and leaves that always fall Your black boots, my red flower ring Live for the little things Ohh, yeah Ohh  No fighting, black riding Wish upon a star and give the moon a smile Pretending, defending Take a risk and go along for the ride Strawberries and fairies with wings Live for the little things  Na na na... Oh, yeah Na na na... Ohh, yeah Na na na... Embed', 'Honey Baby Lyrics  I think of you every single evening As I lay awake at night I try to think
